Item,Location,Date,target,p5,p20,p40,p50,p60,p80,p95,mape,mase,rmsle,smape
Sao Paulo,America,2022-04-03,20.214285714285715,17.66228420978224,20.06100994033609,20.19561316643498,21.07337282414121,21.839251770988536,22.747042012757124,24.239498209494005,6.9573415245131445,0.780077090576957,0.07498010534611727,6.817538991733785
Washington,America,2022-04-03,14.771428571428572,7.665591206760902,14.15027970670011,14.813851626926578,19.90425312426779,22.54382584427263,23.88359523181396,25.71527163641721,40.179837955590166,1.0803826305043212,0.36663908866338857,28.51920246492198
Hamburg,Europe,2022-04-03,3.857142857142857,2.1678858950656803,6.191746184266034,8.45919774543068,9.394371156533406,9.603305234005674,11.965071517569045,14.68652292784127,68.15929219851172,1.024783561993345,,42.47185550239024
Paris,Europe,2022-04-03,8.514285714285714,6.21631031142499,6.596060508023565,10.303985412842346,10.857599385291016,13.733828119587502,16.05883449318391,17.765604722712137,42.23038549966915,1.253369996985593,0.3770497974366254,35.43976280807558
Madrid,Europe,2022-04-03,8.457142857142857,7.634223198266475,9.012412392938373,12.669776528999058,13.604727130674423,14.396358010062569,15.292561675635248,19.389984093105273,32.01063276231957,1.1197478053414622,0.29330226356895167,27.992620932060632
Roma,Europe,2022-04-03,11.285714285714286,10.015666031806118,12.686978753749766,13.746772452476403,16.58105519172371,18.77918564295693,21.139466964421032,23.827683729899785,27.597308556915962,1.304127681267342,0.2565216969957479,22.86418132649586
Reykjavic,Europe,2022-04-03,4.2,-0.5768831208925154,1.9294187504275995,3.6020949572023526,3.897115596635282,4.31966716306241,7.199099141073704,9.302815424830316,857.6414326856662,1.3607683011229434,,103.26017317353427
Dublin,Europe,2022-04-03,5.242857142857143,4.720032036907306,7.316713970024061,8.318049727367901,8.867426408498897,11.144209130154591,15.798880146750967,19.125757410756776,24.462432725627256,0.9109513258482699,0.25785989036074697,23.259694527968534
Sydney,Oceania,2022-04-03,19.442857142857143,15.52702837717718,17.60992030891271,18.99029469271124,20.099315634229136,20.90769408608869,22.187419690832403,24.36804654442875,5.117583465772755,0.7253386799373702,0.060257491412952335,5.128948621412729
Cape Town,Africa,2022-04-03,18.12857142857143,12.375722548968373,16.1405692643637,17.678368671496308,18.49125235157296,18.768015906839704,20.776963073727742,22.763994967831856,8.637974429898826,1.4832168501152034,0.10085089288566611,9.098222627908731
Shanghai,Asia,2022-04-10,18.057142857142857,10.270674807435151,13.084132714897827,14.922707200256076,17.591465865925866,18.696156066662077,24.868000929487586,26.802371533110065,75.35847329476847,2.43002263039625,0.5483844142130639,46.99217514244242
Singapore,Asia,2022-04-10,27.085714285714285,26.12112800240718,27.372371849178716,27.678667281711974,27.982536383010757,28.111283276793838,28.546305085101096,29.259281309061368,1.1858726718695123,0.5698445499774697,0.01662224629502008,1.1728316343385745
Busan,Asia,2022-04-10,15.214285714285714,2.592996490392665,9.864692862630152,12.42548933442469,13.275513630478354,14.257630619570861,16.43916196557339,27.252171360307095,35.60095669328137,0.8072864993586911,0.30551534884452125,26.055356120144925
Qingdao,Asia,2022-04-10,12.771428571428572,4.163538469435465,4.909239035209577,9.547646750490996,12.735125916872976,16.873044546487517,21.3143178434422,34.42650696553898,214.8609801086058,1.1222692628880397,,67.65254221632125
Kuala,Asia,2022-04-10,27.857142857142858,26.403898750798888,27.207994928513248,28.045419081107852,28.060576998812294,28.24588192686596,28.646501391725643,29.07045891469561,1.7460181553516914,0.8698285230897196,0.020641928638329,1.7474303285649573
Yakarta,Asia,2022-04-10,28.885714285714283,27.493511042264764,27.938835287609997,28.31700231253024,28.599822530218663,29.066342738383167,29.487747036483658,29.9505160227426,1.391910825601984,0.8002997811950672,0.01613080754431414,1.3891097937662336
Beijing,Asia,2022-04-10,15.257142857142858,2.6712776390322808,8.116065705245358,11.339727849877324,11.605648254201995,11.716895423947191,13.924000290479157,44.14610444699062,81.74649590098761,1.3593447272380648,,101.77909236902718
Tokyo,Asia,2022-04-10,15.242857142857144,10.348725665156254,13.092725616965039,13.882613687080386,15.020930690073587,16.053919919089044,17.364109374067958,19.736967576879234,25.387014496186485,0.8909685122250378,0.24185671146554377,20.496497281687475
Delhi,Asia,2022-04-10,30.071428571428573,12.94401786639057,17.095245197597404,23.372527000926418,24.226588828665896,24.88665262410964,27.662427881383294,35.216974496945944,23.26096217586634,2.5698146662254806,0.22823246975787925,21.236782902386643
Dubai,Asia,2022-04-10,30.271428571428572,23.79979068898127,25.50274904515838,27.881843872945286,28.303259002071968,28.885128525304605,32.96914528788522,35.74995196310675,7.5293847177816575,1.3865952522388703,0.07954709406093058,7.317826188738473
Miami,America,2022-04-10,29.357142857142858,25.75349265907616,28.157544942851846,29.663899929101703,29.918449018094876,30.03018191510306,31.69295197566438,33.85054746239991,4.512262318632158,0.9655757857924542,0.05404807702241978,4.401935944098071
New york,America,2022-04-10,12.857142857142858,4.956789058457401,12.749478180210442,14.730306219014691,15.244306039149063,16.682661774716,18.537343978430453,23.80388836277954,74.33138834909853,1.0296735465548907,0.4469162777763521,34.840311794892294
New orleans,America,2022-04-10,25.3,19.708848133513328,23.24063188447461,24.856771713796235,26.156314534406903,28.291422029101344,29.549183331992857,35.1481402879571,11.43760824922676,0.9844143784610764,0.13910524584613976,10.946423012787783
Bahamas,America,2022-04-10,25.400000000000002,22.892846721837667,24.64482498035321,25.297525284295034,25.692984094908063,26.044890173646273,28.775958904354372,30.544827350626694,4.20467402059399,1.106172531122266,0.04949795210664056,4.109560516448052
Los Angeles,America,2022-04-10,25.95714285714286,16.047028340515,19.065442216732585,19.99039701956768,20.362667673078036,22.331126477913685,25.040748821447906,27.464163192697647,11.193579965857525,1.0421352910756794,0.13923752595157624,11.59415026497907
Bogota,America,2022-04-10,14.785714285714286,12.923159073734308,13.247820449103886,13.65707177774054,13.963313723958244,14.120632852027454,14.36350724087808,14.8863283152217,3.488861254244086,1.1580225150197774,0.04063339461129306,3.525315284067706
Calgary,America,2022-04-10,11.471428571428572,-14.239904640713993,3.5730867523821255,5.773979382208012,11.358962402444078,12.079742155491937,14.538233100651986,16.86529432166591,1506.3588876777087,1.4921452044937202,,119.24187591200909
Vancouver,America,2022-04-10,7.871428571428572,3.969872464066319,6.621299119148175,8.49221108347197,10.226050082592842,10.912158592517827,13.468884015036304,17.211331293981353,101.09254773344405,1.478771441531541,,47.88879883580766
Sao Paulo,America,2022-04-10,21.214285714285715,17.071873097289398,19.126255274246564,19.846350133067514,20.1094212914759,21.160612029752265,22.85913799564448,24.393248701277855,6.9573415245131445,0.780077090576957,0.07498010534611727,6.817538991733785
Washington,America,2022-04-10,14.742857142857144,8.469863964914289,14.711704074543954,16.21038887978029,19.81566279887633,23.74030678543607,24.96412287318567,26.353648217042142,40.179837955590166,1.0803826305043212,0.36663908866338857,28.51920246492198
